Epoch 1/50, training Loss: 0.5993 Acc: 0.7066, validation Loss: 0.6190 Acc: 0.6579, Time 2m 35s
Epoch 2/50, training Loss: 0.5207 Acc: 0.8033, validation Loss: 0.5797 Acc: 0.7311, Time 2m 35s
Epoch 3/50, training Loss: 0.4862 Acc: 0.8326, validation Loss: 0.5194 Acc: 0.7815, Time 2m 36s
Epoch 4/50, training Loss: 0.4682 Acc: 0.8484, validation Loss: 0.5119 Acc: 0.7919, Time 2m 36s
Epoch 5/50, training Loss: 0.4525 Acc: 0.8614, validation Loss: 0.5196 Acc: 0.8171, Time 2m 36s
Epoch 6/50, training Loss: 0.4411 Acc: 0.8737, validation Loss: 0.5818 Acc: 0.7326, Time 2m 36s
Epoch 7/50, training Loss: 0.4275 Acc: 0.8895, validation Loss: 0.4522 Acc: 0.8705, Time 2m 36s
Epoch 8/50, training Loss: 0.4261 Acc: 0.8860, validation Loss: 0.4684 Acc: 0.8749, Time 2m 36s
Epoch 9/50, training Loss: 0.4126 Acc: 0.9008, validation Loss: 0.5655 Acc: 0.7276, Time 2m 36s
Epoch 10/50, training Loss: 0.4077 Acc: 0.9097, validation Loss: 0.4532 Acc: 0.8789, Time 2m 36s
Epoch 11/50, training Loss: 0.3997 Acc: 0.9146, validation Loss: 0.4451 Acc: 0.8720, Time 2m 36s
Epoch 12/50, training Loss: 0.3980 Acc: 0.9156, validation Loss: 0.4197 Acc: 0.9041, Time 2m 36s
Epoch 13/50, training Loss: 0.3934 Acc: 0.9232, validation Loss: 0.4094 Acc: 0.9031, Time 2m 36s
Epoch 14/50, training Loss: 0.3898 Acc: 0.9247, validation Loss: 0.4419 Acc: 0.8665, Time 2m 36s
Epoch 15/50, training Loss: 0.3849 Acc: 0.9313, validation Loss: 0.4413 Acc: 0.8730, Time 2m 36s
Epoch 16/50, training Loss: 0.3789 Acc: 0.9375, validation Loss: 0.6710 Acc: 0.6085, Time 2m 36s
Epoch 17/50, training Loss: 0.3780 Acc: 0.9382, validation Loss: 0.4653 Acc: 0.8458, Time 2m 36s
Epoch 18/50, training Loss: 0.3764 Acc: 0.9382, validation Loss: 0.4287 Acc: 0.8848, Time 2m 36s
Epoch 19/50, training Loss: 0.3760 Acc: 0.9372, validation Loss: 0.4169 Acc: 0.8992, Time 2m 36s
Epoch 20/50, training Loss: 0.3718 Acc: 0.9417, validation Loss: 0.4158 Acc: 0.8937, Time 2m 36s
Epoch 21/50, training Loss: 0.3659 Acc: 0.9486, validation Loss: 0.3948 Acc: 0.9145, Time 2m 36s
Epoch 22/50, training Loss: 0.3655 Acc: 0.9483, validation Loss: 0.4267 Acc: 0.8848, Time 2m 36s
Epoch 23/50, training Loss: 0.3662 Acc: 0.9481, validation Loss: 0.4004 Acc: 0.9105, Time 2m 36s
Epoch 24/50, training Loss: 0.3617 Acc: 0.9530, validation Loss: 0.4003 Acc: 0.9115, Time 2m 36s
