Epoch 1/50, training Loss: 0.6047 Acc: 0.6971, validation Loss: 0.6290 Acc: 0.6579, Time 2m 32s
Epoch 2/50, training Loss: 0.5275 Acc: 0.7972, validation Loss: 0.5796 Acc: 0.6851, Time 2m 31s
Epoch 3/50, training Loss: 0.4956 Acc: 0.8275, validation Loss: 0.5514 Acc: 0.8018, Time 2m 32s
Epoch 4/50, training Loss: 0.4753 Acc: 0.8420, validation Loss: 0.5210 Acc: 0.7845, Time 2m 32s
Epoch 5/50, training Loss: 0.4573 Acc: 0.8539, validation Loss: 0.5501 Acc: 0.7677, Time 2m 32s
Epoch 6/50, training Loss: 0.4512 Acc: 0.8614, validation Loss: 0.5017 Acc: 0.8141, Time 2m 31s
Epoch 7/50, training Loss: 0.4386 Acc: 0.8746, validation Loss: 0.4747 Acc: 0.8843, Time 2m 31s
Epoch 8/50, training Loss: 0.4275 Acc: 0.8892, validation Loss: 0.4895 Acc: 0.8591, Time 2m 32s
Epoch 9/50, training Loss: 0.4204 Acc: 0.8940, validation Loss: 0.4388 Acc: 0.8898, Time 2m 31s
Epoch 10/50, training Loss: 0.4090 Acc: 0.9049, validation Loss: 0.4645 Acc: 0.8725, Time 2m 28s
Epoch 11/50, training Loss: 0.4084 Acc: 0.9037, validation Loss: 0.5640 Acc: 0.7118, Time 2m 27s
Epoch 12/50, training Loss: 0.4020 Acc: 0.9126, validation Loss: 0.6363 Acc: 0.6218, Time 2m 28s
Epoch 13/50, training Loss: 0.3938 Acc: 0.9219, validation Loss: 0.4474 Acc: 0.8774, Time 2m 28s
Epoch 14/50, training Loss: 0.3917 Acc: 0.9258, validation Loss: 0.4406 Acc: 0.8784, Time 2m 32s
Epoch 15/50, training Loss: 0.3894 Acc: 0.9266, validation Loss: 0.4256 Acc: 0.8962, Time 2m 32s
Epoch 16/50, training Loss: 0.3851 Acc: 0.9303, validation Loss: 0.4058 Acc: 0.9130, Time 2m 32s
Epoch 17/50, training Loss: 0.3845 Acc: 0.9301, validation Loss: 0.4657 Acc: 0.8482, Time 2m 32s
Epoch 18/50, training Loss: 0.3789 Acc: 0.9368, validation Loss: 0.4043 Acc: 0.9135, Time 2m 32s
Epoch 19/50, training Loss: 0.3779 Acc: 0.9363, validation Loss: 0.4995 Acc: 0.7954, Time 2m 32s
Epoch 20/50, training Loss: 0.3738 Acc: 0.9413, validation Loss: 0.4258 Acc: 0.8982, Time 2m 32s
Epoch 21/50, training Loss: 0.3701 Acc: 0.9450, validation Loss: 0.4531 Acc: 0.8507, Time 2m 32s
Epoch 22/50, training Loss: 0.3693 Acc: 0.9465, validation Loss: 0.3901 Acc: 0.9259, Time 2m 32s
Epoch 23/50, training Loss: 0.3645 Acc: 0.9520, validation Loss: 0.3985 Acc: 0.9100, Time 2m 32s
Epoch 24/50, training Loss: 0.3656 Acc: 0.9505, validation Loss: 0.4004 Acc: 0.9110, Time 2m 32s
Epoch 25/50, training Loss: 0.3632 Acc: 0.9510, validation Loss: 0.4071 Acc: 0.8997, Time 2m 32s
Epoch 26/50, training Loss: 0.3662 Acc: 0.9485, validation Loss: 0.4312 Acc: 0.8799, Time 2m 32s
