Epoch 3/50, training Loss: 0.9390 Acc: 0.3500, validation Loss: 0.3756 Acc: 0.9347, Time 0m 21s
Epoch 4/50, training Loss: 0.9073 Acc: 0.3500, validation Loss: 0.3757 Acc: 0.9347, Time 0m 21s
Epoch 5/50, training Loss: 0.9364 Acc: 0.3500, validation Loss: 0.3757 Acc: 0.9347, Time 0m 21s
Epoch 6/50, training Loss: 0.8601 Acc: 0.4000, validation Loss: 0.3757 Acc: 0.9347, Time 0m 21s
Epoch 7/50, training Loss: 0.9389 Acc: 0.3500, validation Loss: 0.3757 Acc: 0.9347, Time 0m 21s
Epoch 8/50, training Loss: 0.9084 Acc: 0.3500, validation Loss: 0.3757 Acc: 0.9347, Time 0m 21s
Epoch 9/50, training Loss: 0.8850 Acc: 0.4000, validation Loss: 0.3757 Acc: 0.9347, Time 0m 21s
Epoch 10/50, training Loss: 0.9244 Acc: 0.3500, validation Loss: 0.3757 Acc: 0.9347, Time 0m 21s
Epoch 11/50, training Loss: 0.9440 Acc: 0.3500, validation Loss: 0.3757 Acc: 0.9352, Time 0m 21s
Epoch 12/50, training Loss: 0.8434 Acc: 0.4000, validation Loss: 0.3757 Acc: 0.9352, Time 0m 21s
Epoch 13/50, training Loss: 0.8912 Acc: 0.4000, validation Loss: 0.3757 Acc: 0.9352, Time 0m 21s
Epoch 14/50, training Loss: 0.9188 Acc: 0.3500, validation Loss: 0.3757 Acc: 0.9352, Time 0m 21s
Epoch 15/50, training Loss: 0.9373 Acc: 0.3500, validation Loss: 0.3758 Acc: 0.9352, Time 0m 21s
Epoch 16/50, training Loss: 0.9282 Acc: 0.3500, validation Loss: 0.3758 Acc: 0.9352, Time 0m 21s
Epoch 17/50, training Loss: 0.9058 Acc: 0.4000, validation Loss: 0.3758 Acc: 0.9352, Time 0m 21s
Epoch 18/50, training Loss: 0.9412 Acc: 0.3500, validation Loss: 0.3758 Acc: 0.9347, Time 0m 21s
Epoch 19/50, training Loss: 0.9151 Acc: 0.3500, validation Loss: 0.3758 Acc: 0.9352, Time 0m 21s
Epoch 20/50, training Loss: 0.8818 Acc: 0.4000, validation Loss: 0.3759 Acc: 0.9342, Time 0m 21s
Epoch 21/50, training Loss: 0.9245 Acc: 0.3500, validation Loss: 0.3759 Acc: 0.9342, Time 0m 21s
Epoch 22/50, training Loss: 0.9037 Acc: 0.4000, validation Loss: 0.3759 Acc: 0.9352, Time 0m 21s
Epoch 23/50, training Loss: 0.9326 Acc: 0.3500, validation Loss: 0.3760 Acc: 0.9347, Time 0m 21s
Epoch 24/50, training Loss: 0.9240 Acc: 0.3500, validation Loss: 0.3760 Acc: 0.9347, Time 0m 21s
