Epoch 1/50, training Loss: 0.6042 Acc: 0.7012, validation Loss: 0.6146 Acc: 0.6594, Time 2m 34s
Epoch 2/50, training Loss: 0.5245 Acc: 0.7987, validation Loss: 0.5801 Acc: 0.8038, Time 2m 34s
Epoch 3/50, training Loss: 0.4896 Acc: 0.8274, validation Loss: 0.5289 Acc: 0.7850, Time 2m 35s
Epoch 4/50, training Loss: 0.4657 Acc: 0.8541, validation Loss: 0.5035 Acc: 0.8393, Time 2m 34s
Epoch 5/50, training Loss: 0.4503 Acc: 0.8684, validation Loss: 0.4960 Acc: 0.8166, Time 2m 34s
Epoch 6/50, training Loss: 0.4387 Acc: 0.8786, validation Loss: 0.4543 Acc: 0.8700, Time 2m 34s
Epoch 7/50, training Loss: 0.4285 Acc: 0.8894, validation Loss: 0.4783 Acc: 0.8641, Time 2m 34s
Epoch 8/50, training Loss: 0.4234 Acc: 0.8882, validation Loss: 0.4925 Acc: 0.8186, Time 2m 34s
Epoch 9/50, training Loss: 0.4105 Acc: 0.9060, validation Loss: 0.4961 Acc: 0.8537, Time 2m 34s
Epoch 10/50, training Loss: 0.4037 Acc: 0.9122, validation Loss: 0.4480 Acc: 0.8680, Time 2m 34s
Epoch 11/50, training Loss: 0.4008 Acc: 0.9110, validation Loss: 0.5805 Acc: 0.7093, Time 2m 34s
Epoch 12/50, training Loss: 0.3926 Acc: 0.9216, validation Loss: 0.4752 Acc: 0.8512, Time 2m 34s
Epoch 13/50, training Loss: 0.3919 Acc: 0.9228, validation Loss: 0.4518 Acc: 0.8720, Time 2m 34s
Epoch 14/50, training Loss: 0.3884 Acc: 0.9263, validation Loss: 0.4511 Acc: 0.8606, Time 2m 34s
Epoch 15/50, training Loss: 0.3864 Acc: 0.9288, validation Loss: 0.4334 Acc: 0.8937, Time 2m 34s
Epoch 16/50, training Loss: 0.3785 Acc: 0.9342, validation Loss: 0.4296 Acc: 0.8838, Time 2m 35s
Epoch 17/50, training Loss: 0.3816 Acc: 0.9330, validation Loss: 0.5141 Acc: 0.7776, Time 2m 35s
Epoch 18/50, training Loss: 0.3774 Acc: 0.9384, validation Loss: 0.7953 Acc: 0.3959, Time 2m 34s
Epoch 19/50, training Loss: 0.3712 Acc: 0.9443, validation Loss: 0.4169 Acc: 0.9006, Time 2m 34s
Epoch 20/50, training Loss: 0.3740 Acc: 0.9382, validation Loss: 0.4969 Acc: 0.7973, Time 2m 35s
Epoch 21/50, training Loss: 0.3699 Acc: 0.9443, validation Loss: 0.3837 Acc: 0.9278, Time 2m 35s
Epoch 22/50, training Loss: 0.3656 Acc: 0.9513, validation Loss: 0.4105 Acc: 0.9016, Time 2m 34s
Epoch 23/50, training Loss: 0.3658 Acc: 0.9486, validation Loss: 0.4263 Acc: 0.8848, Time 2m 34s
Epoch 24/50, training Loss: 0.3633 Acc: 0.9510, validation Loss: 0.4097 Acc: 0.9036, Time 2m 35s
Epoch 25/50, training Loss: 0.3671 Acc: 0.9446, validation Loss: 0.3969 Acc: 0.9135, Time 2m 34s
Epoch 26/50, training Loss: 0.3618 Acc: 0.9533, validation Loss: 0.3896 Acc: 0.9214, Time 2m 35s
Epoch 27/50, training Loss: 0.3628 Acc: 0.9515, validation Loss: 0.4157 Acc: 0.8913, Time 2m 35s
Epoch 28/50, training Loss: 0.3649 Acc: 0.9481, validation Loss: 0.3857 Acc: 0.9239, Time 2m 35s
Epoch 29/50, training Loss: 0.3630 Acc: 0.9545, validation Loss: 0.3903 Acc: 0.9224, Time 2m 35s
Epoch 30/50, training Loss: 0.3613 Acc: 0.9542, validation Loss: 0.3800 Acc: 0.9323, Time 2m 35s
Epoch 31/50, training Loss: 0.3624 Acc: 0.9528, validation Loss: 0.3822 Acc: 0.9273, Time 2m 35s
Epoch 32/50, training Loss: 0.3619 Acc: 0.9542, validation Loss: 0.3990 Acc: 0.9120, Time 2m 34s
Epoch 33/50, training Loss: 0.3593 Acc: 0.9560, validation Loss: 0.4390 Acc: 0.8591, Time 2m 35s
Epoch 34/50, training Loss: 0.3593 Acc: 0.9547, validation Loss: 0.4000 Acc: 0.9090, Time 2m 34s
Epoch 35/50, training Loss: 0.3590 Acc: 0.9552, validation Loss: 0.3922 Acc: 0.9150, Time 2m 35s
Epoch 36/50, training Loss: 0.3644 Acc: 0.9503, validation Loss: 0.3871 Acc: 0.9219, Time 2m 35s
Epoch 37/50, training Loss: 0.3595 Acc: 0.9567, validation Loss: 0.3909 Acc: 0.9165, Time 2m 35s
Epoch 38/50, training Loss: 0.3589 Acc: 0.9570, validation Loss: 0.3960 Acc: 0.9145, Time 2m 35s
Epoch 39/50, training Loss: 0.3609 Acc: 0.9530, validation Loss: 0.3866 Acc: 0.9234, Time 2m 35s
Epoch 40/50, training Loss: 0.3625 Acc: 0.9515, validation Loss: 0.4309 Acc: 0.8764, Time 2m 35s
Epoch 41/50, training Loss: 0.3585 Acc: 0.9580, validation Loss: 0.3782 Acc: 0.9303, Time 2m 35s
Epoch 42/50, training Loss: 0.3609 Acc: 0.9550, validation Loss: 0.3811 Acc: 0.9318, Time 2m 35s
Epoch 43/50, training Loss: 0.3566 Acc: 0.9580, validation Loss: 0.3765 Acc: 0.9362, Time 2m 35s
Epoch 44/50, training Loss: 0.3599 Acc: 0.9550, validation Loss: 0.3758 Acc: 0.9382, Time 2m 35s
Epoch 45/50, training Loss: 0.3597 Acc: 0.9555, validation Loss: 0.3757 Acc: 0.9362, Time 2m 35s
Epoch 46/50, training Loss: 0.3587 Acc: 0.9570, validation Loss: 0.3829 Acc: 0.9278, Time 2m 35s
Epoch 47/50, training Loss: 0.3573 Acc: 0.9584, validation Loss: 0.3750 Acc: 0.9362, Time 2m 35s
Epoch 48/50, training Loss: 0.3575 Acc: 0.9582, validation Loss: 0.3747 Acc: 0.9382, Time 2m 35s
Epoch 49/50, training Loss: 0.3585 Acc: 0.9589, validation Loss: 0.3756 Acc: 0.9372, Time 2m 34s
Epoch 50/50, training Loss: 0.3558 Acc: 0.9607, validation Loss: 0.3748 Acc: 0.9357, Time 2m 35s
Time 128m 49s
Best val Acc: 0.938211Epoch 1/50, training Loss: 0.8935 Acc: 0.4211, validation Loss: 0.3747 Acc: 0.9357, Time 0m 21s
Epoch 2/50, training Loss: 0.9078 Acc: 0.4211, validation Loss: 0.3746 Acc: 0.9357, Time 0m 21s
Epoch 3/50, training Loss: 0.8384 Acc: 0.4737, validation Loss: 0.3746 Acc: 0.9357, Time 0m 21s
Epoch 4/50, training Loss: 0.8895 Acc: 0.4211, validation Loss: 0.3745 Acc: 0.9367, Time 0m 21s
Epoch 5/50, training Loss: 0.8886 Acc: 0.4211, validation Loss: 0.3744 Acc: 0.9372, Time 0m 21s
Epoch 6/50, training Loss: 0.9081 Acc: 0.3684, validation Loss: 0.3744 Acc: 0.9372, Time 0m 21s
Epoch 7/50, training Loss: 0.8463 Acc: 0.4211, validation Loss: 0.3743 Acc: 0.9382, Time 0m 21s
Epoch 8/50, training Loss: 0.9084 Acc: 0.3684, validation Loss: 0.3743 Acc: 0.9377, Time 0m 21s
Epoch 9/50, training Loss: 0.9060 Acc: 0.4211, validation Loss: 0.3743 Acc: 0.9372, Time 0m 21s
Epoch 10/50, training Loss: 0.8617 Acc: 0.4211, validation Loss: 0.3743 Acc: 0.9372, Time 0m 21s
Epoch 11/50, training Loss: 0.8758 Acc: 0.4211, validation Loss: 0.3743 Acc: 0.9372, Time 0m 21s
Epoch 12/50, training Loss: 0.8512 Acc: 0.4737, validation Loss: 0.3742 Acc: 0.9382, Time 0m 21s
Epoch 13/50, training Loss: 0.8924 Acc: 0.4211, validation Loss: 0.3742 Acc: 0.9377, Time 0m 21s
Epoch 14/50, training Loss: 0.8845 Acc: 0.4211, validation Loss: 0.3741 Acc: 0.9382, Time 0m 21s
Epoch 15/50, training Loss: 0.9003 Acc: 0.3684, validation Loss: 0.3741 Acc: 0.9392, Time 0m 21s
Epoch 16/50, training Loss: 0.8931 Acc: 0.4211, validation Loss: 0.3741 Acc: 0.9387, Time 0m 21s
Epoch 17/50, training Loss: 0.8311 Acc: 0.4737, validation Loss: 0.3740 Acc: 0.9387, Time 0m 21s
Epoch 18/50, training Loss: 0.8887 Acc: 0.4211, validation Loss: 0.3740 Acc: 0.9387, Time 0m 21s
Epoch 19/50, training Loss: 0.8821 Acc: 0.4211, validation Loss: 0.3740 Acc: 0.9392, Time 0m 21s
Epoch 20/50, training Loss: 0.8802 Acc: 0.4211, validation Loss: 0.3740 Acc: 0.9392, Time 0m 21s
Epoch 21/50, training Loss: 0.8762 Acc: 0.4211, validation Loss: 0.3740 Acc: 0.9387, Time 0m 21s
Epoch 22/50, training Loss: 0.8549 Acc: 0.4737, validation Loss: 0.3740 Acc: 0.9387, Time 0m 21s
Epoch 23/50, training Loss: 0.8813 Acc: 0.4211, validation Loss: 0.3740 Acc: 0.9387, Time 0m 21s
Epoch 24/50, training Loss: 0.8790 Acc: 0.4211, validation Loss: 0.3740 Acc: 0.9392, Time 0m 21s
Epoch 25/50, training Loss: 0.8541 Acc: 0.4737, validation Loss: 0.3740 Acc: 0.9392, Time 0m 21s
Epoch 26/50, training Loss: 0.8599 Acc: 0.4211, validation Loss: 0.3741 Acc: 0.9387, Time 0m 21s
Epoch 27/50, training Loss: 0.8611 Acc: 0.4211, validation Loss: 0.3741 Acc: 0.9392, Time 0m 21s
Epoch 28/50, training Loss: 0.8529 Acc: 0.4211, validation Loss: 0.3741 Acc: 0.9392, Time 0m 21s
Epoch 29/50, training Loss: 0.9247 Acc: 0.3684, validation Loss: 0.3742 Acc: 0.9397, Time 0m 21s
Epoch 30/50, training Loss: 0.9388 Acc: 0.3158, validation Loss: 0.3742 Acc: 0.9397, Time 0m 21s
Epoch 31/50, training Loss: 0.9128 Acc: 0.3158, validation Loss: 0.3742 Acc: 0.9397, Time 0m 21s
Epoch 32/50, training Loss: 0.8889 Acc: 0.3684, validation Loss: 0.3743 Acc: 0.9397, Time 0m 21s
Epoch 33/50, training Loss: 0.9132 Acc: 0.3684, validation Loss: 0.3743 Acc: 0.9397, Time 0m 21s
Epoch 34/50, training Loss: 0.9128 Acc: 0.4211, validation Loss: 0.3744 Acc: 0.9402, Time 0m 21s
Epoch 35/50, training Loss: 0.8912 Acc: 0.4211, validation Loss: 0.3745 Acc: 0.9397, Time 0m 21s
Epoch 36/50, training Loss: 0.9190 Acc: 0.3684, validation Loss: 0.3746 Acc: 0.9397, Time 0m 21s
Epoch 37/50, training Loss: 0.8304 Acc: 0.5263, validation Loss: 0.3747 Acc: 0.9387, Time 0m 21s
Epoch 38/50, training Loss: 0.9028 Acc: 0.3684, validation Loss: 0.3748 Acc: 0.9382, Time 0m 21s
Epoch 39/50, training Loss: 0.8623 Acc: 0.4211, validation Loss: 0.3749 Acc: 0.9382, Time 0m 21s
Epoch 40/50, training Loss: 0.9028 Acc: 0.3684, validation Loss: 0.3750 Acc: 0.9387, Time 0m 21s
Epoch 41/50, training Loss: 0.8744 Acc: 0.4211, validation Loss: 0.3751 Acc: 0.9392, Time 0m 21s
Epoch 42/50, training Loss: 0.8979 Acc: 0.3684, validation Loss: 0.3752 Acc: 0.9377, Time 0m 21s
Epoch 43/50, training Loss: 0.9015 Acc: 0.3684, validation Loss: 0.3753 Acc: 0.9372, Time 0m 21s
Epoch 44/50, training Loss: 0.8793 Acc: 0.4211, validation Loss: 0.3754 Acc: 0.9372, Time 0m 21s
Epoch 45/50, training Loss: 0.8985 Acc: 0.4211, validation Loss: 0.3755 Acc: 0.9372, Time 0m 21s
Epoch 46/50, training Loss: 0.8955 Acc: 0.4211, validation Loss: 0.3757 Acc: 0.9372, Time 0m 21s
Epoch 47/50, training Loss: 0.9604 Acc: 0.2632, validation Loss: 0.3758 Acc: 0.9372, Time 0m 21s
Epoch 48/50, training Loss: 0.8629 Acc: 0.4211, validation Loss: 0.3759 Acc: 0.9367, Time 0m 21s
Epoch 49/50, training Loss: 0.9155 Acc: 0.3684, validation Loss: 0.3761 Acc: 0.9367, Time 0m 21s
Epoch 50/50, training Loss: 0.9002 Acc: 0.3684, validation Loss: 0.3762 Acc: 0.9362, Time 0m 21s
Time 17m 32s
Best val Acc: 0.940188Epoch 1/50, training Loss: 0.7316 Acc: 0.5789, validation Loss: 0.3764 Acc: 0.9352, Time 0m 21s
Epoch 2/50, training Loss: 0.6948 Acc: 0.5789, validation Loss: 0.3765 Acc: 0.9348, Time 0m 21s
Epoch 3/50, training Loss: 0.6876 Acc: 0.5789, validation Loss: 0.3767 Acc: 0.9348, Time 0m 21s
Epoch 4/50, training Loss: 0.7057 Acc: 0.6316, validation Loss: 0.3768 Acc: 0.9348, Time 0m 21s
Epoch 5/50, training Loss: 0.7840 Acc: 0.4737, validation Loss: 0.3770 Acc: 0.9343, Time 0m 21s
Epoch 6/50, training Loss: 0.6875 Acc: 0.5789, validation Loss: 0.3771 Acc: 0.9338, Time 0m 21s
Epoch 7/50, training Loss: 0.6977 Acc: 0.6316, validation Loss: 0.3773 Acc: 0.9338, Time 0m 21s
Epoch 8/50, training Loss: 0.6954 Acc: 0.5789, validation Loss: 0.3775 Acc: 0.9338, Time 0m 21s
Epoch 9/50, training Loss: 0.6882 Acc: 0.6316, validation Loss: 0.3777 Acc: 0.9333, Time 0m 21s
Epoch 10/50, training Loss: 0.7183 Acc: 0.5263, validation Loss: 0.3778 Acc: 0.9328, Time 0m 21s
Epoch 11/50, training Loss: 0.6753 Acc: 0.6842, validation Loss: 0.3780 Acc: 0.9328, Time 0m 21s
Epoch 12/50, training Loss: 0.7078 Acc: 0.5789, validation Loss: 0.3782 Acc: 0.9328, Time 0m 21s
Epoch 13/50, training Loss: 0.7328 Acc: 0.5789, validation Loss: 0.3783 Acc: 0.9328, Time 0m 21s
Epoch 14/50, training Loss: 0.6980 Acc: 0.6316, validation Loss: 0.3785 Acc: 0.9323, Time 0m 21s
Epoch 15/50, training Loss: 0.6951 Acc: 0.6316, validation Loss: 0.3787 Acc: 0.9328, Time 0m 21s
Epoch 16/50, training Loss: 0.7033 Acc: 0.6316, validation Loss: 0.3789 Acc: 0.9323, Time 0m 21s
Epoch 17/50, training Loss: 0.7172 Acc: 0.5789, validation Loss: 0.3791 Acc: 0.9323, Time 0m 21s
Epoch 18/50, training Loss: 0.7023 Acc: 0.6316, validation Loss: 0.3792 Acc: 0.9318, Time 0m 21s
Epoch 19/50, training Loss: 0.7269 Acc: 0.5789, validation Loss: 0.3794 Acc: 0.9323, Time 0m 21s
