Epoch 1/50, training Loss: 0.6006 Acc: 0.7101, validation Loss: 0.6237 Acc: 0.6579, Time 2m 31s
Epoch 2/50, training Loss: 0.5250 Acc: 0.7965, validation Loss: 0.6043 Acc: 0.7578, Time 2m 33s
Epoch 3/50, training Loss: 0.4890 Acc: 0.8309, validation Loss: 0.6948 Acc: 0.5002, Time 2m 33s
Epoch 4/50, training Loss: 0.4721 Acc: 0.8454, validation Loss: 0.5250 Acc: 0.8196, Time 2m 32s
Epoch 5/50, training Loss: 0.4583 Acc: 0.8585, validation Loss: 0.6201 Acc: 0.6451, Time 2m 32s
Epoch 6/50, training Loss: 0.4456 Acc: 0.8674, validation Loss: 0.5842 Acc: 0.7173, Time 2m 32s
Epoch 7/50, training Loss: 0.4292 Acc: 0.8874, validation Loss: 0.4987 Acc: 0.8473, Time 2m 29s
Epoch 8/50, training Loss: 0.4230 Acc: 0.8943, validation Loss: 0.7758 Acc: 0.4315, Time 2m 28s
Epoch 9/50, training Loss: 0.4124 Acc: 0.9077, validation Loss: 0.4424 Acc: 0.8779, Time 2m 30s
Epoch 10/50, training Loss: 0.4079 Acc: 0.9049, validation Loss: 0.4877 Acc: 0.8641, Time 2m 32s
Epoch 11/50, training Loss: 0.4074 Acc: 0.9077, validation Loss: 0.7151 Acc: 0.5255, Time 2m 29s
Epoch 12/50, training Loss: 0.3979 Acc: 0.9163, validation Loss: 0.4942 Acc: 0.8250, Time 2m 29s
Epoch 13/50, training Loss: 0.3918 Acc: 0.9244, validation Loss: 0.7961 Acc: 0.4404, Time 2m 31s
Epoch 14/50, training Loss: 0.3905 Acc: 0.9254, validation Loss: 0.8265 Acc: 0.3752, Time 2m 32s
Epoch 15/50, training Loss: 0.3875 Acc: 0.9296, validation Loss: 0.5205 Acc: 0.7929, Time 2m 29s
Epoch 16/50, training Loss: 0.3832 Acc: 0.9316, validation Loss: 0.5268 Acc: 0.7652, Time 2m 29s
Epoch 17/50, training Loss: 0.3804 Acc: 0.9331, validation Loss: 0.5862 Acc: 0.7301, Time 2m 29s
Epoch 18/50, training Loss: 0.3784 Acc: 0.9363, validation Loss: 0.4182 Acc: 0.8967, Time 2m 29s
Epoch 19/50, training Loss: 0.3741 Acc: 0.9398, validation Loss: 0.7842 Acc: 0.4913, Time 2m 29s
Epoch 20/50, training Loss: 0.3730 Acc: 0.9410, validation Loss: 0.8065 Acc: 0.4464, Time 2m 29s
Epoch 21/50, training Loss: 0.3691 Acc: 0.9437, validation Loss: 0.4350 Acc: 0.8730, Time 2m 29s
Epoch 22/50, training Loss: 0.3672 Acc: 0.9472, validation Loss: 0.4463 Acc: 0.8581, Time 2m 30s
Epoch 23/50, training Loss: 0.3656 Acc: 0.9526, validation Loss: 0.4087 Acc: 0.9056, Time 2m 33s
Epoch 24/50, training Loss: 0.3622 Acc: 0.9531, validation Loss: 0.3975 Acc: 0.9160, Time 2m 33s
Epoch 25/50, training Loss: 0.3660 Acc: 0.9496, validation Loss: 0.3958 Acc: 0.9165, Time 2m 33s
Epoch 26/50, training Loss: 0.3662 Acc: 0.9479, validation Loss: 0.4459 Acc: 0.8547, Time 2m 33s
Epoch 27/50, training Loss: 0.3641 Acc: 0.9514, validation Loss: 0.3798 Acc: 0.9308, Time 2m 33s
Epoch 28/50, training Loss: 0.3631 Acc: 0.9516, validation Loss: 0.4418 Acc: 0.8562, Time 2m 33s
Epoch 29/50, training Loss: 0.3599 Acc: 0.9573, validation Loss: 0.3971 Acc: 0.9165, Time 2m 33s
Epoch 30/50, training Loss: 0.3618 Acc: 0.9548, validation Loss: 0.4181 Acc: 0.8967, Time 2m 33s
Epoch 31/50, training Loss: 0.3617 Acc: 0.9531, validation Loss: 0.3951 Acc: 0.9214, Time 2m 33s
Epoch 32/50, training Loss: 0.3628 Acc: 0.9558, validation Loss: 0.3918 Acc: 0.9239, Time 2m 33s
Epoch 33/50, training Loss: 0.3643 Acc: 0.9514, validation Loss: 0.3790 Acc: 0.9333, Time 2m 33s
Epoch 34/50, training Loss: 0.3631 Acc: 0.9516, validation Loss: 0.3937 Acc: 0.9204, Time 2m 33s
Epoch 35/50, training Loss: 0.3621 Acc: 0.9531, validation Loss: 0.3929 Acc: 0.9199, Time 2m 33s
Epoch 36/50, training Loss: 0.3585 Acc: 0.9568, validation Loss: 0.4130 Acc: 0.8977, Time 2m 33s
Epoch 37/50, training Loss: 0.3590 Acc: 0.9556, validation Loss: 0.3815 Acc: 0.9362, Time 2m 33s
Epoch 38/50, training Loss: 0.3628 Acc: 0.9531, validation Loss: 0.3892 Acc: 0.9219, Time 2m 33s
Epoch 39/50, training Loss: 0.3585 Acc: 0.9570, validation Loss: 0.3980 Acc: 0.9090, Time 2m 33s
Epoch 40/50, training Loss: 0.3622 Acc: 0.9511, validation Loss: 0.3950 Acc: 0.9155, Time 2m 33s
Epoch 41/50, training Loss: 0.3598 Acc: 0.9568, validation Loss: 0.3783 Acc: 0.9328, Time 2m 33s
