Epoch 1/200, training Loss: 0.6649 Acc: 0.6195, validation Loss: 0.6554 Acc: 0.6484, Time 0m 56s
Epoch 2/200, training Loss: 0.6228 Acc: 0.6502, validation Loss: 0.6313 Acc: 0.6484, Time 0m 58s
Epoch 3/200, training Loss: 0.5903 Acc: 0.6945, validation Loss: 0.6047 Acc: 0.7630, Time 0m 58s
Epoch 4/200, training Loss: 0.5650 Acc: 0.7687, validation Loss: 0.5966 Acc: 0.7943, Time 0m 59s
Epoch 5/200, training Loss: 0.5432 Acc: 0.7935, validation Loss: 0.5871 Acc: 0.7969, Time 0m 58s
Epoch 6/200, training Loss: 0.5258 Acc: 0.8111, validation Loss: 0.5764 Acc: 0.7917, Time 0m 58s
Epoch 7/200, training Loss: 0.5111 Acc: 0.8313, validation Loss: 0.5826 Acc: 0.7995, Time 0m 57s
Epoch 8/200, training Loss: 0.5021 Acc: 0.8345, validation Loss: 0.5538 Acc: 0.8125, Time 0m 58s
Epoch 9/200, training Loss: 0.4843 Acc: 0.8489, validation Loss: 0.5465 Acc: 0.8385, Time 0m 58s
Epoch 10/200, training Loss: 0.4719 Acc: 0.8658, validation Loss: 0.5065 Acc: 0.8281, Time 0m 56s
Epoch 11/200, training Loss: 0.4689 Acc: 0.8625, validation Loss: 0.5236 Acc: 0.8047, Time 0m 56s
Epoch 12/200, training Loss: 0.4650 Acc: 0.8567, validation Loss: 0.5219 Acc: 0.8385, Time 0m 57s
Epoch 13/200, training Loss: 0.4563 Acc: 0.8638, validation Loss: 0.5218 Acc: 0.8099, Time 0m 57s
Epoch 14/200, training Loss: 0.4451 Acc: 0.8847, validation Loss: 0.4997 Acc: 0.8594, Time 0m 57s
Epoch 15/200, training Loss: 0.4506 Acc: 0.8762, validation Loss: 0.5259 Acc: 0.7891, Time 0m 56s
Epoch 16/200, training Loss: 0.4452 Acc: 0.8808, validation Loss: 0.4839 Acc: 0.8568, Time 0m 56s
Epoch 17/200, training Loss: 0.4370 Acc: 0.8847, validation Loss: 0.5020 Acc: 0.8411, Time 0m 56s
Epoch 18/200, training Loss: 0.4348 Acc: 0.8906, validation Loss: 0.5962 Acc: 0.6901, Time 0m 57s
Epoch 19/200, training Loss: 0.4354 Acc: 0.8853, validation Loss: 0.5151 Acc: 0.7760, Time 0m 57s
Epoch 20/200, training Loss: 0.4306 Acc: 0.8912, validation Loss: 0.4771 Acc: 0.8724, Time 0m 57s
Epoch 21/200, training Loss: 0.4352 Acc: 0.8827, validation Loss: 0.4661 Acc: 0.8698, Time 0m 57s
Epoch 22/200, training Loss: 0.4307 Acc: 0.8912, validation Loss: 0.4433 Acc: 0.8750, Time 0m 57s
Epoch 23/200, training Loss: 0.4298 Acc: 0.8873, validation Loss: 0.4497 Acc: 0.8646, Time 0m 57s
Epoch 24/200, training Loss: 0.4310 Acc: 0.8906, validation Loss: 0.4470 Acc: 0.8750, Time 0m 59s
Epoch 25/200, training Loss: 0.4283 Acc: 0.8899, validation Loss: 0.4422 Acc: 0.8724, Time 0m 56s
Epoch 26/200, training Loss: 0.4322 Acc: 0.8840, validation Loss: 0.4421 Acc: 0.8750, Time 0m 57s
Epoch 27/200, training Loss: 0.4293 Acc: 0.8899, validation Loss: 0.4503 Acc: 0.8646, Time 0m 57s
Epoch 28/200, training Loss: 0.4339 Acc: 0.8886, validation Loss: 0.4405 Acc: 0.8854, Time 0m 57s
Epoch 29/200, training Loss: 0.4248 Acc: 0.8925, validation Loss: 0.4579 Acc: 0.8490, Time 0m 57s
Epoch 30/200, training Loss: 0.4301 Acc: 0.8925, validation Loss: 0.4607 Acc: 0.8724, Time 0m 57s
Epoch 31/200, training Loss: 0.4199 Acc: 0.9003, validation Loss: 0.5282 Acc: 0.7734, Time 0m 57s
Epoch 32/200, training Loss: 0.4245 Acc: 0.8971, validation Loss: 0.4867 Acc: 0.8255, Time 0m 57s
Epoch 33/200, training Loss: 0.4219 Acc: 0.8958, validation Loss: 0.4454 Acc: 0.8802, Time 0m 57s
Epoch 34/200, training Loss: 0.4268 Acc: 0.8893, validation Loss: 0.4411 Acc: 0.8802, Time 0m 57s
