Epoch 1/200, training Loss: 0.4302 Acc: 0.8886, validation Loss: 0.4040 Acc: 0.9089, Time 0m 57s
Epoch 2/200, training Loss: 0.4262 Acc: 0.8925, validation Loss: 0.4036 Acc: 0.9115, Time 0m 57s
Epoch 3/200, training Loss: 0.4275 Acc: 0.8906, validation Loss: 0.4040 Acc: 0.9115, Time 0m 57s
Epoch 4/200, training Loss: 0.4291 Acc: 0.8912, validation Loss: 0.4037 Acc: 0.9089, Time 0m 57s
Epoch 5/200, training Loss: 0.4308 Acc: 0.8899, validation Loss: 0.4045 Acc: 0.9062, Time 0m 57s
Epoch 6/200, training Loss: 0.4364 Acc: 0.8795, validation Loss: 0.4047 Acc: 0.9089, Time 0m 57s
Epoch 7/200, training Loss: 0.4354 Acc: 0.8814, validation Loss: 0.4046 Acc: 0.9089, Time 0m 57s
Epoch 8/200, training Loss: 0.4305 Acc: 0.8866, validation Loss: 0.4042 Acc: 0.9062, Time 0m 57s
Epoch 9/200, training Loss: 0.4298 Acc: 0.8873, validation Loss: 0.4050 Acc: 0.9036, Time 0m 57s
Epoch 10/200, training Loss: 0.4332 Acc: 0.8840, validation Loss: 0.4047 Acc: 0.9089, Time 0m 57s
Epoch 11/200, training Loss: 0.4277 Acc: 0.8879, validation Loss: 0.4041 Acc: 0.9062, Time 0m 57s
Epoch 12/200, training Loss: 0.4253 Acc: 0.8997, validation Loss: 0.4051 Acc: 0.9062, Time 0m 57s
Epoch 13/200, training Loss: 0.4365 Acc: 0.8808, validation Loss: 0.4049 Acc: 0.9062, Time 0m 57s
Epoch 14/200, training Loss: 0.4296 Acc: 0.8938, validation Loss: 0.4044 Acc: 0.9089, Time 0m 57s
Epoch 15/200, training Loss: 0.4299 Acc: 0.8873, validation Loss: 0.4034 Acc: 0.9115, Time 0m 57s
Epoch 16/200, training Loss: 0.4345 Acc: 0.8821, validation Loss: 0.4040 Acc: 0.9089, Time 0m 57s
Epoch 17/200, training Loss: 0.4305 Acc: 0.8906, validation Loss: 0.4037 Acc: 0.9115, Time 0m 57s
Epoch 18/200, training Loss: 0.4311 Acc: 0.8866, validation Loss: 0.4040 Acc: 0.9089, Time 0m 57s
Epoch 19/200, training Loss: 0.4429 Acc: 0.8743, validation Loss: 0.4049 Acc: 0.9089, Time 0m 57s
Epoch 20/200, training Loss: 0.4315 Acc: 0.8912, validation Loss: 0.4042 Acc: 0.9089, Time 0m 57s
Epoch 21/200, training Loss: 0.4305 Acc: 0.8886, validation Loss: 0.4039 Acc: 0.9089, Time 0m 57s
Epoch 22/200, training Loss: 0.4286 Acc: 0.8912, validation Loss: 0.4044 Acc: 0.9062, Time 0m 57s
Epoch 23/200, training Loss: 0.4289 Acc: 0.8925, validation Loss: 0.4038 Acc: 0.9089, Time 0m 57s
Epoch 24/200, training Loss: 0.4275 Acc: 0.8866, validation Loss: 0.4047 Acc: 0.9089, Time 0m 57s
Epoch 25/200, training Loss: 0.4394 Acc: 0.8736, validation Loss: 0.4046 Acc: 0.9062, Time 0m 57s
Epoch 26/200, training Loss: 0.4295 Acc: 0.8853, validation Loss: 0.4047 Acc: 0.9089, Time 0m 57s
Epoch 27/200, training Loss: 0.4382 Acc: 0.8736, validation Loss: 0.4044 Acc: 0.9089, Time 0m 57s
Epoch 28/200, training Loss: 0.4358 Acc: 0.8795, validation Loss: 0.4036 Acc: 0.9062, Time 0m 57s
