Epoch 53/200, training Loss: 0.3280 Acc: 0.9870, validation Loss: 0.4037 Acc: 0.9089, Time 0m 58s
Epoch 54/200, training Loss: 0.3288 Acc: 0.9857, validation Loss: 0.4013 Acc: 0.9115, Time 0m 57s
Epoch 55/200, training Loss: 0.3290 Acc: 0.9850, validation Loss: 0.4003 Acc: 0.9115, Time 0m 57s
Epoch 56/200, training Loss: 0.3284 Acc: 0.9870, validation Loss: 0.4015 Acc: 0.9115, Time 0m 58s
Epoch 57/200, training Loss: 0.3283 Acc: 0.9883, validation Loss: 0.3984 Acc: 0.9089, Time 0m 58s
Epoch 58/200, training Loss: 0.3290 Acc: 0.9857, validation Loss: 0.4005 Acc: 0.9089, Time 0m 58s
Epoch 59/200, training Loss: 0.3285 Acc: 0.9883, validation Loss: 0.3975 Acc: 0.9115, Time 0m 59s
Epoch 60/200, training Loss: 0.3266 Acc: 0.9883, validation Loss: 0.3964 Acc: 0.9141, Time 0m 58s
Epoch 61/200, training Loss: 0.3288 Acc: 0.9870, validation Loss: 0.3973 Acc: 0.9115, Time 0m 58s
Epoch 62/200, training Loss: 0.3287 Acc: 0.9857, validation Loss: 0.3980 Acc: 0.9141, Time 0m 57s
Epoch 63/200, training Loss: 0.3324 Acc: 0.9824, validation Loss: 0.3965 Acc: 0.9141, Time 0m 57s
Epoch 64/200, training Loss: 0.3334 Acc: 0.9805, validation Loss: 0.3972 Acc: 0.9141, Time 0m 57s
Epoch 65/200, training Loss: 0.3309 Acc: 0.9831, validation Loss: 0.3949 Acc: 0.9141, Time 0m 57s
Epoch 66/200, training Loss: 0.3287 Acc: 0.9863, validation Loss: 0.3978 Acc: 0.9141, Time 0m 57s
Epoch 67/200, training Loss: 0.3286 Acc: 0.9857, validation Loss: 0.3969 Acc: 0.9141, Time 0m 58s
Epoch 68/200, training Loss: 0.3239 Acc: 0.9915, validation Loss: 0.3981 Acc: 0.9115, Time 0m 58s
Epoch 69/200, training Loss: 0.3264 Acc: 0.9870, validation Loss: 0.3975 Acc: 0.9115, Time 0m 58s
Epoch 70/200, training Loss: 0.3293 Acc: 0.9850, validation Loss: 0.3970 Acc: 0.9115, Time 0m 58s
Epoch 71/200, training Loss: 0.3278 Acc: 0.9857, validation Loss: 0.3982 Acc: 0.9141, Time 0m 58s
Epoch 72/200, training Loss: 0.3341 Acc: 0.9792, validation Loss: 0.3968 Acc: 0.9141, Time 0m 58s
Epoch 73/200, training Loss: 0.3294 Acc: 0.9837, validation Loss: 0.3954 Acc: 0.9141, Time 0m 58s
Epoch 74/200, training Loss: 0.3277 Acc: 0.9870, validation Loss: 0.3959 Acc: 0.9115, Time 0m 58s
Epoch 75/200, training Loss: 0.3300 Acc: 0.9837, validation Loss: 0.3955 Acc: 0.9141, Time 0m 58s
Epoch 76/200, training Loss: 0.3278 Acc: 0.9857, validation Loss: 0.3972 Acc: 0.9089, Time 0m 58s
Epoch 77/200, training Loss: 0.3294 Acc: 0.9844, validation Loss: 0.3989 Acc: 0.9115, Time 0m 58s
Epoch 78/200, training Loss: 0.3291 Acc: 0.9857, validation Loss: 0.3983 Acc: 0.9115, Time 0m 58s
Epoch 79/200, training Loss: 0.3284 Acc: 0.9863, validation Loss: 0.3959 Acc: 0.9115, Time 0m 58s
Epoch 80/200, training Loss: 0.3290 Acc: 0.9850, validation Loss: 0.3965 Acc: 0.9141, Time 0m 57s
Epoch 81/200, training Loss: 0.3306 Acc: 0.9844, validation Loss: 0.3973 Acc: 0.9115, Time 0m 57s
Epoch 82/200, training Loss: 0.3269 Acc: 0.9883, validation Loss: 0.3966 Acc: 0.9089, Time 0m 57s
Epoch 83/200, training Loss: 0.3282 Acc: 0.9876, validation Loss: 0.3953 Acc: 0.9115, Time 0m 57s
Epoch 84/200, training Loss: 0.3274 Acc: 0.9889, validation Loss: 0.3969 Acc: 0.9141, Time 0m 58s
Epoch 85/200, training Loss: 0.3269 Acc: 0.9870, validation Loss: 0.3992 Acc: 0.9115, Time 0m 57s
Epoch 86/200, training Loss: 0.3304 Acc: 0.9850, validation Loss: 0.3948 Acc: 0.9141, Time 0m 58s
Epoch 87/200, training Loss: 0.3287 Acc: 0.9850, validation Loss: 0.3964 Acc: 0.9115, Time 0m 57s
Epoch 88/200, training Loss: 0.3318 Acc: 0.9831, validation Loss: 0.3958 Acc: 0.9141, Time 0m 58s
Epoch 89/200, training Loss: 0.3290 Acc: 0.9870, validation Loss: 0.3972 Acc: 0.9141, Time 0m 58s
Epoch 90/200, training Loss: 0.3286 Acc: 0.9863, validation Loss: 0.3953 Acc: 0.9115, Time 0m 57s
Epoch 91/200, training Loss: 0.3293 Acc: 0.9850, validation Loss: 0.3966 Acc: 0.9141, Time 0m 58s
Epoch 92/200, training Loss: 0.3281 Acc: 0.9844, validation Loss: 0.3968 Acc: 0.9141, Time 0m 58s
Epoch 93/200, training Loss: 0.3307 Acc: 0.9837, validation Loss: 0.3955 Acc: 0.9141, Time 0m 57s
Epoch 94/200, training Loss: 0.3278 Acc: 0.9870, validation Loss: 0.3963 Acc: 0.9115, Time 0m 57s
Epoch 95/200, training Loss: 0.3287 Acc: 0.9863, validation Loss: 0.3961 Acc: 0.9089, Time 0m 57s
Epoch 96/200, training Loss: 0.3286 Acc: 0.9870, validation Loss: 0.3958 Acc: 0.9141, Time 0m 57s
Epoch 97/200, training Loss: 0.3276 Acc: 0.9863, validation Loss: 0.3944 Acc: 0.9141, Time 0m 57s
Epoch 98/200, training Loss: 0.3343 Acc: 0.9792, validation Loss: 0.3961 Acc: 0.9141, Time 0m 57s
Epoch 99/200, training Loss: 0.3280 Acc: 0.9870, validation Loss: 0.3978 Acc: 0.9115, Time 0m 57s
Epoch 100/200, training Loss: 0.3284 Acc: 0.9857, validation Loss: 0.3979 Acc: 0.9115, Time 0m 57s
Epoch 101/200, training Loss: 0.3298 Acc: 0.9863, validation Loss: 0.3974 Acc: 0.9115, Time 0m 57s
Epoch 102/200, training Loss: 0.3296 Acc: 0.9857, validation Loss: 0.3969 Acc: 0.9141, Time 0m 57s
Epoch 103/200, training Loss: 0.3271 Acc: 0.9876, validation Loss: 0.3951 Acc: 0.9115, Time 0m 57s
Epoch 104/200, training Loss: 0.3293 Acc: 0.9857, validation Loss: 0.3985 Acc: 0.9115, Time 0m 58s
Epoch 105/200, training Loss: 0.3287 Acc: 0.9837, validation Loss: 0.3986 Acc: 0.9115, Time 0m 57s
Epoch 106/200, training Loss: 0.3307 Acc: 0.9844, validation Loss: 0.3991 Acc: 0.9115, Time 0m 58s
Epoch 107/200, training Loss: 0.3276 Acc: 0.9876, validation Loss: 0.3968 Acc: 0.9089, Time 0m 58s
Epoch 108/200, training Loss: 0.3290 Acc: 0.9850, validation Loss: 0.3962 Acc: 0.9141, Time 0m 57s
Epoch 109/200, training Loss: 0.3269 Acc: 0.9876, validation Loss: 0.3982 Acc: 0.9115, Time 0m 58s
Epoch 110/200, training Loss: 0.3275 Acc: 0.9883, validation Loss: 0.3964 Acc: 0.9141, Time 0m 57s
Epoch 111/200, training Loss: 0.3280 Acc: 0.9863, validation Loss: 0.3957 Acc: 0.9115, Time 0m 58s
Epoch 112/200, training Loss: 0.3278 Acc: 0.9883, validation Loss: 0.3964 Acc: 0.9141, Time 0m 57s
Epoch 113/200, training Loss: 0.3296 Acc: 0.9850, validation Loss: 0.3965 Acc: 0.9141, Time 0m 57s
Epoch 114/200, training Loss: 0.3286 Acc: 0.9870, validation Loss: 0.3972 Acc: 0.9089, Time 0m 57s
Epoch 115/200, training Loss: 0.3249 Acc: 0.9896, validation Loss: 0.3979 Acc: 0.9115, Time 0m 58s
Epoch 116/200, training Loss: 0.3263 Acc: 0.9889, validation Loss: 0.3984 Acc: 0.9115, Time 0m 57s
Epoch 117/200, training Loss: 0.3269 Acc: 0.9870, validation Loss: 0.3980 Acc: 0.9141, Time 0m 57s
Epoch 118/200, training Loss: 0.3327 Acc: 0.9805, validation Loss: 0.3962 Acc: 0.9141, Time 0m 57s
Epoch 119/200, training Loss: 0.3327 Acc: 0.9805, validation Loss: 0.3974 Acc: 0.9115, Time 0m 57s
Epoch 120/200, training Loss: 0.3265 Acc: 0.9896, validation Loss: 0.3973 Acc: 0.9141, Time 0m 57s
Epoch 121/200, training Loss: 0.3263 Acc: 0.9889, validation Loss: 0.3971 Acc: 0.9141, Time 0m 57s
Epoch 122/200, training Loss: 0.3293 Acc: 0.9857, validation Loss: 0.3958 Acc: 0.9141, Time 0m 58s
Epoch 123/200, training Loss: 0.3287 Acc: 0.9857, validation Loss: 0.3966 Acc: 0.9141, Time 0m 58s
Epoch 124/200, training Loss: 0.3273 Acc: 0.9883, validation Loss: 0.3968 Acc: 0.9115, Time 0m 58s
Epoch 125/200, training Loss: 0.3326 Acc: 0.9798, validation Loss: 0.3958 Acc: 0.9141, Time 0m 58s
Epoch 126/200, training Loss: 0.3296 Acc: 0.9844, validation Loss: 0.3963 Acc: 0.9115, Time 0m 58s
Epoch 127/200, training Loss: 0.3317 Acc: 0.9811, validation Loss: 0.3950 Acc: 0.9141, Time 0m 58s
Epoch 128/200, training Loss: 0.3276 Acc: 0.9870, validation Loss: 0.3987 Acc: 0.9115, Time 0m 57s
Epoch 129/200, training Loss: 0.3290 Acc: 0.9857, validation Loss: 0.3949 Acc: 0.9167, Time 0m 58s
Epoch 130/200, training Loss: 0.3286 Acc: 0.9863, validation Loss: 0.3965 Acc: 0.9115, Time 0m 58s
Epoch 131/200, training Loss: 0.3320 Acc: 0.9831, validation Loss: 0.3944 Acc: 0.9115, Time 0m 58s
Epoch 132/200, training Loss: 0.3315 Acc: 0.9824, validation Loss: 0.3956 Acc: 0.9141, Time 0m 58s
Epoch 133/200, training Loss: 0.3348 Acc: 0.9792, validation Loss: 0.3963 Acc: 0.9141, Time 0m 57s
Epoch 134/200, training Loss: 0.3273 Acc: 0.9889, validation Loss: 0.3965 Acc: 0.9141, Time 0m 57s
Epoch 135/200, training Loss: 0.3294 Acc: 0.9870, validation Loss: 0.3983 Acc: 0.9115, Time 0m 57s
Epoch 136/200, training Loss: 0.3270 Acc: 0.9876, validation Loss: 0.3993 Acc: 0.9115, Time 0m 57s
Epoch 137/200, training Loss: 0.3266 Acc: 0.9883, validation Loss: 0.3971 Acc: 0.9141, Time 0m 58s
Epoch 138/200, training Loss: 0.3258 Acc: 0.9896, validation Loss: 0.3954 Acc: 0.9141, Time 0m 57s
Epoch 139/200, training Loss: 0.3291 Acc: 0.9863, validation Loss: 0.3975 Acc: 0.9115, Time 0m 58s
Epoch 140/200, training Loss: 0.3295 Acc: 0.9844, validation Loss: 0.3982 Acc: 0.9115, Time 0m 58s
Epoch 141/200, training Loss: 0.3286 Acc: 0.9876, validation Loss: 0.3970 Acc: 0.9141, Time 0m 57s
Epoch 142/200, training Loss: 0.3303 Acc: 0.9863, validation Loss: 0.3984 Acc: 0.9089, Time 0m 58s
Epoch 143/200, training Loss: 0.3282 Acc: 0.9857, validation Loss: 0.3978 Acc: 0.9141, Time 0m 58s
Epoch 144/200, training Loss: 0.3269 Acc: 0.9870, validation Loss: 0.3961 Acc: 0.9115, Time 0m 58s
Epoch 145/200, training Loss: 0.3277 Acc: 0.9883, validation Loss: 0.3955 Acc: 0.9141, Time 0m 58s
Epoch 146/200, training Loss: 0.3289 Acc: 0.9863, validation Loss: 0.3956 Acc: 0.9115, Time 0m 58s
Epoch 147/200, training Loss: 0.3300 Acc: 0.9844, validation Loss: 0.3982 Acc: 0.9115, Time 0m 58s
Epoch 148/200, training Loss: 0.3283 Acc: 0.9876, validation Loss: 0.3961 Acc: 0.9141, Time 0m 57s
Epoch 149/200, training Loss: 0.3315 Acc: 0.9824, validation Loss: 0.3973 Acc: 0.9141, Time 0m 57s
Epoch 150/200, training Loss: 0.3312 Acc: 0.9831, validation Loss: 0.3964 Acc: 0.9115, Time 0m 58s
Epoch 151/200, training Loss: 0.3314 Acc: 0.9837, validation Loss: 0.3975 Acc: 0.9115, Time 0m 57s
Epoch 152/200, training Loss: 0.3306 Acc: 0.9850, validation Loss: 0.3974 Acc: 0.9167, Time 0m 58s
Epoch 153/200, training Loss: 0.3304 Acc: 0.9837, validation Loss: 0.3943 Acc: 0.9141, Time 0m 58s
Epoch 154/200, training Loss: 0.3307 Acc: 0.9844, validation Loss: 0.3980 Acc: 0.9141, Time 0m 58s
Epoch 155/200, training Loss: 0.3265 Acc: 0.9889, validation Loss: 0.3978 Acc: 0.9115, Time 0m 59s
Epoch 156/200, 
