Epoch 1/50, training Loss: 0.5796 Acc: 0.7371, validation Loss: 0.6206 Acc: 0.6579, Time 4m 46s
Epoch 2/50, training Loss: 0.5012 Acc: 0.8144, validation Loss: 0.5705 Acc: 0.7484, Time 4m 46s
Epoch 3/50, training Loss: 0.4703 Acc: 0.8459, validation Loss: 0.5124 Acc: 0.8527, Time 4m 46s
Epoch 4/50, training Loss: 0.4494 Acc: 0.8661, validation Loss: 0.5502 Acc: 0.7790, Time 4m 46s
Epoch 5/50, training Loss: 0.4363 Acc: 0.8788, validation Loss: 0.4669 Acc: 0.8527, Time 4m 46s
Epoch 6/50, training Loss: 0.4268 Acc: 0.8873, validation Loss: 0.5689 Acc: 0.7266, Time 4m 46s
Epoch 7/50, training Loss: 0.4145 Acc: 0.8989, validation Loss: 0.8128 Acc: 0.3826, Time 4m 47s
Epoch 8/50, training Loss: 0.4061 Acc: 0.9069, validation Loss: 0.4572 Acc: 0.8670, Time 4m 46s
Epoch 9/50, training Loss: 0.3986 Acc: 0.9165, validation Loss: 0.4416 Acc: 0.8730, Time 4m 46s
Epoch 10/50, training Loss: 0.3964 Acc: 0.9166, validation Loss: 0.4927 Acc: 0.8112, Time 4m 47s
Epoch 11/50, training Loss: 0.3899 Acc: 0.9242, validation Loss: 0.6520 Acc: 0.5991, Time 4m 46s
Epoch 12/50, training Loss: 0.3856 Acc: 0.9276, validation Loss: 0.4163 Acc: 0.9026, Time 4m 46s
Epoch 13/50, training Loss: 0.3836 Acc: 0.9297, validation Loss: 0.4024 Acc: 0.9120, Time 4m 46s
Epoch 14/50, training Loss: 0.3782 Acc: 0.9366, validation Loss: 0.5219 Acc: 0.7672, Time 4m 47s
Epoch 15/50, training Loss: 0.3782 Acc: 0.9336, validation Loss: 0.5256 Acc: 0.7731, Time 4m 47s
Epoch 16/50, training Loss: 0.3767 Acc: 0.9375, validation Loss: 0.4882 Acc: 0.8206, Time 4m 46s
Epoch 17/50, training Loss: 0.3704 Acc: 0.9445, validation Loss: 0.5734 Acc: 0.7182, Time 4m 47s
Epoch 18/50, training Loss: 0.3718 Acc: 0.9418, validation Loss: 0.5431 Acc: 0.7603, Time 4m 47s
